Version,1.2
Date,15-07-13
Time,10h10
Force Threshold, Label2, pia, 0.12
Force Threshold, Label1, vessel, 0.08
Force Threshold, Label3, target, 3.40282e+038
Force Threshold, Label4, grey matter, 0.08
Force Threshold, Label5, white matter, 3.40282e+038
Number of materials,5
Number of targets,0
Time(s), InstrumentLeftHand,LeftSwitch, LeftKnob,  ForceFeedbackLeftHand, CumTimeLeftForceOverThreshold_label2_pia, CumTimeLeftForceOverThreshold_label1_vessel, CumTimeLeftForceOverThreshold_label3_target, CumTimeLeftForceOverThreshold_label4_grey matter, CumTimeLeftForceOverThreshold_label5_white matter, Label2_pia_TouchedByLeft, Label1_vessel_TouchedByLeft, Label3_target_TouchedByLeft, Label4_grey matter_TouchedByLeft, Label5_white matter_TouchedByLeft, TranslationLeft_x,TranslationLeft_y,TranslationLeft_z, quatLeft_x,quatLeft_y,quatLeft_z , quatLeft_w, InstrumentRightHand, RightSwitch, RightKnob, ForceFeedbackRightHand, CumTimeRightForceOverThreshold_label2_pia, CumTimeRightForceOverThreshold_label1_vessel, CumTimeRightForceOverThreshold_label3_target, CumTimeRightForceOverThreshold_label4_grey matter, CumTimeRightForceOverThreshold_label5_white matter, Label2_pia_TouchedByRight, Label1_vessel_TouchedByRight, Label3_target_TouchedByRight, Label4_grey matter_TouchedByRight, Label5_white matter_TouchedByRight, TranslationRight_x,TranslationRight_y,TranslationRight_z, quatRight_x,quatRight_y,quatRight_z,quatRight_w,BloodEmittedFrame,BloodCurrentFrame, TotalBloodEmitted, TotalWhiteFibreCut, TotalArteriesFibreCut, TotalVeinsFibreCut, TotalTargetFibreCut, Volume_ofLabel2_pia, Volume_ofLabel1_vessel, Volume_ofLabel3_target, Volume_ofLabel4_grey matter, Volume_ofLabel5_white matter 
0.419971 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.236758 , -0.116163 , 34.4641 , 0.225694 , 0.241726 , 0.0221417 , 0.943473 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.69538 , -1.69092 , 42.7362 , -0.0701221 , 0.365054 , 0.266885 , 0.889152 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.439968 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.432658 , -0.202537 , 34.3621 , 0.224643 , 0.2428 , 0.0222924 , 0.943444 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.70919 , -1.8212 , 42.8081 , -0.0705655 , 0.365553 , 0.267479 , 0.888733 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.459958 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.555232 , -0.28294 , 34.2772 , 0.223866 , 0.243478 , 0.0221928 , 0.943456 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.72838 , -1.95061 , 42.8563 , -0.0710748 , 0.366061 , 0.267827 , 0.888378 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.479958 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.590417 , -0.327904 , 34.2203 , 0.223384 , 0.243601 , 0.0223367 , 0.943536 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.74854 , -2.03005 , 42.8471 , -0.0711021 , 0.366133 , 0.267913 , 0.888321 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.499979 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.572384 , -0.32837 , 34.1811 , 0.223156 , 0.243206 , 0.0227415 , 0.943682 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.76879 , -2.08562 , 42.8314 , -0.0706116 , 0.366068 , 0.268731 , 0.888139 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.520211 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.576285 , -0.286755 , 34.1688 , 0.222853 , 0.243464 , 0.0217301 , 0.943711 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.79476 , -2.12024 , 42.8274 , -0.0701798 , 0.365744 , 0.268969 , 0.888235 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.540212 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.573685 , -0.21414 , 34.1546 , 0.222886 , 0.243617 , 0.0209534 , 0.943681 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.81343 , -2.17067 , 42.8528 , -0.0700428 , 0.365684 , 0.269315 , 0.888166 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.559947 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.589633 , -0.173051 , 34.1249 , 0.22261 , 0.243801 , 0.0205607 , 0.943707 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.81424 , -2.19756 , 42.8684 , -0.0699912 , 0.365639 , 0.269426 , 0.888155 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.579962 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.60142 , -0.13695 , 34.0998 , 0.22243 , 0.243903 , 0.020451 , 0.943726 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.80693 , -2.21384 , 42.8668 , -0.0695943 , 0.365682 , 0.270308 , 0.8879 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.59998 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.601717 , -0.0966334 , 34.076 , 0.222317 , 0.243925 , 0.0206492 , 0.943742 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.79652 , -2.21246 , 42.8544 , -0.0694055 , 0.36572 , 0.270682 , 0.887785 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.619961 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.572454 , 0.00387299 , 34.0498 , 0.223311 , 0.243699 , 0.0208783 , 0.943561 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.787 , -2.17644 , 42.8551 , -0.0691818 , 0.36578 , 0.271168 , 0.88763 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.639959 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.538721 , 0.104631 , 33.9699 , 0.223816 , 0.243751 , 0.0208145 , 0.943429 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.76282 , -2.1489 , 42.8562 , -0.0690456 , 0.365792 , 0.271338 , 0.887583 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.660203 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.478694 , 0.188895 , 33.8369 , 0.223981 , 0.243971 , 0.020818 , 0.943333 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.67699 , -2.19457 , 42.8964 , -0.0697246 , 0.366441 , 0.271181 , 0.887311 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.680192 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.355136 , 0.261392 , 33.62 , 0.223633 , 0.243302 , 0.0206722 , 0.943592 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.55458 , -2.27663 , 42.857 , -0.069721 , 0.366972 , 0.271725 , 0.886925 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.700239 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.28854 , 0.300228 , 33.3776 , 0.22307 , 0.243093 , 0.0205815 , 0.943781 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.38668 , -2.36781 , 42.7101 , -0.0688273 , 0.367424 , 0.273241 , 0.886342 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.720222 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.263615 , 0.334624 , 33.063 , 0.221785 , 0.242762 , 0.0193118 , 0.944195 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.17078 , -2.46502 , 42.45 , -0.0671645 , 0.367783 , 0.275403 , 0.885651 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
